<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;5;20190103;100500;154.1300000;154.6400000;154.1100000;154.5400000;488990
GAZP;5;20190103;101000;154.5500000;154.6000000;154.1300000;154.3700000;250090
GAZP;5;20190103;101500;154.3500000;154.7600000;154.2000000;154.6200000;333660
GAZP;5;20190103;102000;154.6800000;154.8800000;154.6000000;154.7100000;148010
GAZP;5;20190103;102500;154.7100000;154.7800000;154.6400000;154.6800000;75510
GAZP;5;20190103;103000;154.6800000;154.9300000;154.6000000;154.9200000;205890
GAZP;5;20190103;103500;154.9300000;154.9500000;154.8100000;154.8500000;125190
GAZP;5;20190103;104000;154.8600000;155.1300000;154.8100000;155.1000000;253360
GAZP;5;20190103;104500;155.1300000;155.2500000;154.9400000;155.0100000;217090
GAZP;5;20190103;105000;155.0000000;155.0300000;154.7200000;155.0000000;82640
GAZP;5;20190103;105500;155.0000000;155.1900000;154.6600000;154.8400000;151660
GAZP;5;20190103;110000;154.7700000;154.9000000;154.7700000;154.8000000;43750
GAZP;5;20190103;110500;154.8000000;155.2100000;154.6700000;155.1000000;188980
GAZP;5;20190103;111000;155.2200000;155.5500000;155.1000000;155.5000000;243340
GAZP;5;20190103;111500;155.5000000;155.8000000;155.2700000;155.4900000;586440
GAZP;5;20190103;112000;155.5600000;155.8000000;155.4200000;155.4300000;231940
GAZP;5;20190103;112500;155.4200000;155.5800000;155.2000000;155.3400000;121070
GAZP;5;20190103;113000;155.4900000;155.5400000;155.2100000;155.4800000;40430
GAZP;5;20190103;113500;155.5300000;155.8000000;155.4200000;155.4900000;64050
GAZP;5;20190103;114000;155.4700000;155.5100000;155.3100000;155.3700000;64320
GAZP;5;20190103;114500;155.3400000;155.3700000;155.0300000;155.2900000;183030
GAZP;5;20190103;115000;155.2100000;155.4500000;155.1300000;155.3900000;64740
GAZP;5;20190103;115500;155.3300000;155.5100000;155.2500000;155.3000000;96390
GAZP;5;20190103;120000;155.2900000;155.4700000;155.2100000;155.4100000;46530
GAZP;5;20190103;120500;155.4100000;155.6200000;155.3200000;155.5100000;217970
GAZP;5;20190103;121000;155.5100000;155.6500000;155.2700000;155.3400000;72460
GAZP;5;20190103;121500;155.3200000;155.4500000;155.1600000;155.3400000;60810
GAZP;5;20190103;122000;155.3400000;155.5700000;155.2400000;155.5000000;78490
GAZP;5;20190103;122500;155.5300000;155.5800000;155.2000000;155.4300000;53390
GAZP;5;20190103;123000;155.4100000;155.4200000;155.1700000;155.1700000;60350
GAZP;5;20190103;123500;155.1600000;155.2800000;155.0700000;155.2400000;25870
GAZP;5;20190103;124000;155.2300000;155.3600000;155.0900000;155.2700000;86350
GAZP;5;20190103;124500;155.2700000;155.3800000;155.2000000;155.2800000;29790
GAZP;5;20190103;125000;155.2100000;155.4600000;155.2100000;155.3500000;97200
GAZP;5;20190103;125500;155.3500000;155.6100000;155.3500000;155.5800000;157900
GAZP;5;20190103;130000;155.5600000;155.5800000;155.3400000;155.4100000;63480
GAZP;5;20190103;130500;155.3800000;155.4900000;155.2600000;155.4900000;34760
GAZP;5;20190103;131000;155.4900000;155.5900000;155.4800000;155.5100000;55050
GAZP;5;20190103;131500;155.5100000;155.5100000;155.3500000;155.4000000;36010
GAZP;5;20190103;132000;155.3700000;155.6500000;155.3700000;155.6000000;34030
GAZP;5;20190103;132500;155.6100000;155.6100000;155.4100000;155.4900000;38960
