<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;5;20160104;100500;2351.0000000;2356.0000000;2350.0000000;2353.6000000;3993
LKOH;5;20160104;101000;2351.8000000;2351.8000000;2346.9000000;2349.6000000;2445
LKOH;5;20160104;101500;2349.5000000;2349.5000000;2345.2000000;2346.6000000;3454
LKOH;5;20160104;102000;2347.2000000;2347.9000000;2346.3000000;2347.1000000;2098
LKOH;5;20160104;102500;2348.0000000;2348.7000000;2346.6000000;2346.6000000;499
LKOH;5;20160104;103000;2346.4000000;2346.4000000;2341.2000000;2341.3000000;1085
LKOH;5;20160104;103500;2341.2000000;2341.2000000;2337.2000000;2337.2000000;3029
LKOH;5;20160104;104000;2337.3000000;2337.3000000;2327.1000000;2331.7000000;9939
LKOH;5;20160104;104500;2330.0000000;2337.9000000;2327.4000000;2335.2000000;6284
LKOH;5;20160104;105000;2335.0000000;2336.1000000;2330.0000000;2332.4000000;2065
LKOH;5;20160104;105500;2332.4000000;2337.4000000;2332.4000000;2336.1000000;2564
LKOH;5;20160104;110000;2336.2000000;2337.6000000;2335.0000000;2335.9000000;4257
LKOH;5;20160104;110500;2335.5000000;2343.1000000;2328.8000000;2328.8000000;15951
LKOH;5;20160104;111000;2328.4000000;2332.0000000;2321.1000000;2323.5000000;9765
LKOH;5;20160104;111500;2323.6000000;2339.8000000;2323.6000000;2334.8000000;16668
LKOH;5;20160104;112000;2334.0000000;2337.0000000;2321.1000000;2322.8000000;6335
LKOH;5;20160104;112500;2322.8000000;2323.5000000;2316.2000000;2319.2000000;12130
LKOH;5;20160104;113000;2318.6000000;2322.6000000;2315.0000000;2321.6000000;6657
LKOH;5;20160104;113500;2322.0000000;2326.7000000;2319.2000000;2324.2000000;1587
LKOH;5;20160104;114000;2324.1000000;2327.9000000;2319.2000000;2323.1000000;6282
LKOH;5;20160104;114500;2322.0000000;2324.0000000;2320.3000000;2322.8000000;2991
LKOH;5;20160104;115000;2323.1000000;2324.0000000;2317.4000000;2322.9000000;6566
LKOH;5;20160104;115500;2322.9000000;2322.9000000;2316.9000000;2322.2000000;3868
LKOH;5;20160104;120000;2322.4000000;2325.9000000;2320.7000000;2324.6000000;3640
LKOH;5;20160104;120500;2322.8000000;2322.8000000;2315.8000000;2319.6000000;11697
LKOH;5;20160104;121000;2318.5000000;2318.7000000;2316.5000000;2317.5000000;12403
LKOH;5;20160104;121500;2318.5000000;2320.0000000;2317.5000000;2317.5000000;1373
LKOH;5;20160104;122000;2318.5000000;2321.9000000;2317.4000000;2321.9000000;1436
LKOH;5;20160104;122500;2321.0000000;2322.6000000;2318.0000000;2322.5000000;4197
LKOH;5;20160104;123000;2321.0000000;2325.9000000;2321.0000000;2324.3000000;3053
LKOH;5;20160104;123500;2324.0000000;2326.3000000;2320.9000000;2322.1000000;2862
LKOH;5;20160104;124000;2322.1000000;2322.1000000;2320.0000000;2321.2000000;1573
LKOH;5;20160104;124500;2320.1000000;2321.0000000;2320.1000000;2321.0000000;1018
LKOH;5;20160104;125000;2321.0000000;2321.0000000;2319.0000000;2320.0000000;1325
LKOH;5;20160104;125500;2320.0000000;2320.1000000;2318.5000000;2318.5000000;1045
LKOH;5;20160104;130000;2319.7000000;2320.0000000;2319.7000000;2320.0000000;633
LKOH;5;20160104;130500;2320.0000000;2320.0000000;2317.6000000;2317.7000000;3820
LKOH;5;20160104;131000;2318.3000000;2319.9000000;2317.6000000;2319.9000000;412
LKOH;5;20160104;131500;2319.8000000;2324.4000000;2318.4000000;2324.4000000;5097
LKOH;5;20160104;132000;2324.4000000;2325.9000000;2323.9000000;2325.9000000;3812
LKOH;5;20160104;132500;2325.8000000;2325.9000000;2322.2000000;2325.3000000;2744
LKOH;5;20160104;133000;2323.9000000;2325.9000000;2323.9000000;2325.8000000;1538
LKOH;5;20160104;133500;2325.7000000;2327.5000000;2319.2000000;2322.8000000;3640
LKOH;5;20160104;134000;2324.7000000;2324.8000000;2322.2000000;2322.8000000;658
LKOH;5;20160104;134500;2322.8000000;2325.4000000;2322.8000000;2325.4000000;1141
LKOH;5;20160104;135000;2325.0000000;2325.0000000;2319.7000000;2322.4000000;2016
LKOH;5;20160104;135500;2322.1000000;2322.2000000;2319.5000000;2320.0000000;1614
LKOH;5;20160104;140000;2320.0000000;2323.8000000;2320.0000000;2323.8000000;690
LKOH;5;20160104;140500;2323.8000000;2325.1000000;2323.8000000;2325.1000000;233
LKOH;5;20160104;141000;2325.0000000;2329.7000000;2325.0000000;2327.1000000;2284
LKOH;5;20160104;141500;2327.0000000;2330.7000000;2319.3000000;2321.4000000;20924
LKOH;5;20160104;142000;2322.5000000;2324.4000000;2321.0000000;2321.5000000;1649
LKOH;5;20160104;142500;2321.5000000;2322.2000000;2319.1000000;2319.9000000;2626
LKOH;5;20160104;143000;2319.8000000;2319.8000000;2316.8000000;2316.8000000;2427
LKOH;5;20160104;143500;2317.0000000;2319.0000000;2317.0000000;2319.0000000;2551
LKOH;5;20160104;144000;2319.0000000;2319.0000000;2316.4000000;2316.5000000;3210
LKOH;5;20160104;144500;2316.4000000;2317.0000000;2312.3000000;2316.4000000;6768
LKOH;5;20160104;145000;2316.4000000;2317.7000000;2315.5000000;2317.6000000;639
LKOH;5;20160104;145500;2317.6000000;2318.3000000;2316.7000000;2318.0000000;5892
LKOH;5;20160104;150000;2317.1000000;2317.9000000;2315.1000000;2315.1000000;1660
LKOH;5;20160104;150500;2316.6000000;2317.5000000;2316.6000000;2317.4000000;393
LKOH;5;20160104;151000;2317.5000000;2318.0000000;2315.7000000;2316.5000000;3146
LKOH;5;20160104;151500;2316.7000000;2318.0000000;2316.7000000;2318.0000000;399
LKOH;5;20160104;152000;2317.5000000;2318.0000000;2313.2000000;2315.3000000;2502
LKOH;5;20160104;152500;2314.0000000;2315.3000000;2313.4000000;2315.3000000;507
LKOH;5;20160104;153000;2316.0000000;2317.3000000;2316.0000000;2317.3000000;465
LKOH;5;20160104;153500;2316.7000000;2318.7000000;2316.2000000;2317.8000000;4945
LKOH;5;20160104;154000;2317.8000000;2318.2000000;2317.4000000;2318.2000000;580
LKOH;5;20160104;154500;2317.8000000;2318.5000000;2317.0000000;2317.6000000;2622
LKOH;5;20160104;155000;2317.5000000;2318.5000000;2317.5000000;2317.5000000;634
LKOH;5;20160104;155500;2318.4000000;2318.8000000;2317.5000000;2317.5000000;295
LKOH;5;20160104;160000;2318.4000000;2318.4000000;2315.9000000;2316.5000000;973
LKOH;5;20160104;160500;2317.4000000;2318.0000000;2315.5000000;2316.8000000;3017
LKOH;5;20160104;161000;2317.4000000;2317.5000000;2311.1000000;2312.0000000;2797
LKOH;5;20160104;161500;2312.8000000;2313.9000000;2310.4000000;2313.8000000;7417
LKOH;5;20160104;162000;2313.8000000;2315.4000000;2312.2000000;2314.0000000;2344
LKOH;5;20160104;162500;2315.2000000;2316.1000000;2313.9000000;2316.1000000;656
LKOH;5;20160104;163000;2316.0000000;2319.9000000;2315.3000000;2319.7000000;6929
LKOH;5;20160104;163500;2318.1000000;2319.9000000;2315.8000000;2319.8000000;3308
LKOH;5;20160104;164000;2319.7000000;2321.0000000;2318.8000000;2321.0000000;1813
LKOH;5;20160104;164500;2320.3000000;2323.8000000;2320.0000000;2322.6000000;5031
LKOH;5;20160104;165000;2322.6000000;2326.3000000;2322.5000000;2325.1000000;3884
LKOH;5;20160104;165500;2325.3000000;2329.1000000;2325.2000000;2328.6000000;1818
LKOH;5;20160104;170000;2328.7000000;2331.8000000;2322.7000000;2324.3000000;8297
LKOH;5;20160104;170500;2325.0000000;2328.3000000;2324.5000000;2325.1000000;1533
LKOH;5;20160104;171000;2325.1000000;2327.4000000;2322.2000000;2323.9000000;1793
LKOH;5;20160104;171500;2323.6000000;2329.3000000;2323.6000000;2329.2000000;2994
LKOH;5;20160104;172000;2329.1000000;2329.2000000;2325.6000000;2326.4000000;1729
LKOH;5;20160104;172500;2327.4000000;2329.6000000;2324.9000000;2326.7000000;1918
LKOH;5;20160104;173000;2326.7000000;2328.5000000;2326.1000000;2327.1000000;955
LKOH;5;20160104;173500;2326.0000000;2326.0000000;2321.5000000;2321.8000000;4327
LKOH;5;20160104;174000;2322.5000000;2327.8000000;2322.2000000;2323.0000000;5608
LKOH;5;20160104;174500;2322.6000000;2322.9000000;2318.0000000;2320.9000000;5802
LKOH;5;20160104;175000;2321.6000000;2321.7000000;2316.0000000;2319.1000000;7013
LKOH;5;20160104;175500;2318.0000000;2323.7000000;2318.0000000;2321.4000000;4110
LKOH;5;20160104;180000;2322.2000000;2322.2000000;2317.7000000;2317.7000000;3444
LKOH;5;20160104;180500;2317.8000000;2324.8000000;2317.7000000;2318.3000000;12820
LKOH;5;20160104;181000;2318.8000000;2319.9000000;2316.2000000;2319.8000000;3792
LKOH;5;20160104;181500;2319.9000000;2321.5000000;2315.6000000;2317.6000000;7432
LKOH;5;20160104;182000;2317.9000000;2322.4000000;2316.0000000;2316.6000000;12280
LKOH;5;20160104;182500;2317.6000000;2319.5000000;2315.9000000;2319.4000000;6089
LKOH;5;20160104;183000;2319.3000000;2319.6000000;2315.2000000;2316.5000000;7005
LKOH;5;20160104;183500;2315.8000000;2318.7000000;2315.1000000;2315.4000000;2703
LKOH;5;20160104;184000;2316.7000000;2316.7000000;2309.3000000;2309.8000000;18640
LKOH;5;20160104;185000;2310.2000000;2310.2000000;2310.2000000;2310.2000000;12757
LKOH;5;20160105;100500;2310.3000000;2316.0000000;2304.1000000;2310.3000000;5380
LKOH;5;20160105;101000;2310.3000000;2315.5000000;2310.3000000;2315.5000000;1208
LKOH;5;20160105;101500;2315.5000000;2316.1000000;2308.9000000;2310.9000000;2007
LKOH;5;20160105;102000;2311.0000000;2314.5000000;2311.0000000;2311.2000000;3638
LKOH;5;20160105;102500;2311.2000000;2314.4000000;2309.4000000;2312.1000000;4178
LKOH;5;20160105;103000;2312.5000000;2318.0000000;2312.3000000;2314.5000000;1872
LKOH;5;20160105;103500;2316.0000000;2319.4000000;2316.0000000;2319.4000000;1349
LKOH;5;20160105;104000;2319.5000000;2320.0000000;2318.5000000;2319.2000000;3594
LKOH;5;20160105;104500;2319.7000000;2321.7000000;2319.6000000;2320.9000000;1272
LKOH;5;20160105;105000;2320.9000000;2320.9000000;2313.1000000;2313.1000000;2982
LKOH;5;20160105;105500;2314.4000000;2316.4000000;2312.1000000;2314.1000000;2210
LKOH;5;20160105;110000;2312.6000000;2314.4000000;2311.0000000;2311.0000000;3579
LKOH;5;20160105;110500;2311.0000000;2327.0000000;2311.0000000;2319.0000000;19270
LKOH;5;20160105;111000;2319.5000000;2320.4000000;2317.4000000;2317.7000000;3661
