<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;5;20170103;100500;403.6000000;406.5000000;403.6000000;406.1000000;60150
ROSN;5;20170103;101000;406.0000000;407.0000000;405.6000000;407.0000000;25580
ROSN;5;20170103;101500;407.0000000;407.2500000;405.6000000;406.5000000;37770
ROSN;5;20170103;102000;406.5000000;406.9000000;405.9500000;406.5000000;22160
ROSN;5;20170103;102500;406.5000000;406.5000000;405.5000000;406.4000000;23060
ROSN;5;20170103;103000;406.4000000;406.5500000;405.9500000;406.4000000;11640
ROSN;5;20170103;103500;406.4500000;406.9500000;406.2000000;406.9500000;23540
ROSN;5;20170103;104000;406.9500000;407.0000000;405.8500000;406.1000000;25870
ROSN;5;20170103;104500;406.2000000;406.9500000;406.2000000;406.9500000;11380
ROSN;5;20170103;105000;406.9500000;407.0000000;406.6500000;407.0000000;34280
ROSN;5;20170103;105500;407.0000000;407.0000000;406.7500000;407.0000000;8830
ROSN;5;20170103;110000;407.0000000;407.0000000;406.7000000;406.7000000;11420
ROSN;5;20170103;110500;406.6500000;408.5500000;406.6500000;407.5000000;125470
ROSN;5;20170103;111000;407.5000000;409.7000000;407.5000000;409.7000000;55120
ROSN;5;20170103;111500;409.7000000;409.9000000;409.1500000;409.5500000;21530
ROSN;5;20170103;112000;409.4000000;409.7500000;409.0500000;409.2000000;13910
ROSN;5;20170103;112500;409.0500000;410.3000000;409.0500000;409.7000000;30500
ROSN;5;20170103;113000;409.9000000;409.9500000;409.2500000;409.8500000;31280
ROSN;5;20170103;113500;409.9000000;410.0000000;409.5000000;409.5000000;32970
ROSN;5;20170103;114000;409.7500000;410.5000000;409.4000000;410.4000000;40520
ROSN;5;20170103;114500;410.4000000;410.6500000;409.9500000;410.2000000;17850
ROSN;5;20170103;115000;410.2000000;410.4000000;410.0000000;410.0000000;7060
ROSN;5;20170103;115500;410.1500000;410.8500000;409.9500000;410.8500000;22680
ROSN;5;20170103;120000;410.8500000;410.8500000;410.2500000;410.7500000;27320
ROSN;5;20170103;120500;410.8000000;410.8000000;409.8500000;410.0500000;15210
ROSN;5;20170103;121000;410.2500000;410.3000000;409.9000000;410.3000000;12360
ROSN;5;20170103;121500;410.2500000;410.3000000;409.5000000;410.0500000;17780
ROSN;5;20170103;122000;410.3000000;410.8000000;410.1500000;410.5500000;10280
ROSN;5;20170103;122500;410.7500000;411.9500000;409.7500000;411.8000000;153050
ROSN;5;20170103;123000;411.8500000;413.9500000;411.6000000;413.7000000;71860
ROSN;5;20170103;123500;413.8000000;419.6500000;413.3000000;418.6500000;297580
ROSN;5;20170103;124000;418.6500000;421.2500000;418.6500000;420.9000000;252270
ROSN;5;20170103;124500;421.0000000;422.0000000;419.9500000;420.4500000;180200
ROSN;5;20170103;125000;420.4500000;420.8000000;419.4500000;420.8000000;80670
ROSN;5;20170103;125500;420.8000000;421.7500000;420.7500000;421.3500000;47550
ROSN;5;20170103;130000;421.3500000;421.4000000;420.0000000;420.7000000;64720
ROSN;5;20170103;130500;420.8000000;421.2000000;420.4500000;420.7000000;34310
ROSN;5;20170103;131000;420.7000000;421.6000000;420.6500000;421.5500000;62050
ROSN;5;20170103;131500;421.4500000;421.4500000;420.6500000;420.6500000;15240
ROSN;5;20170103;132000;420.6500000;420.8000000;420.6500000;420.6500000;72130
ROSN;5;20170103;132500;420.6500000;421.1000000;420.6500000;420.6500000;100960
ROSN;5;20170103;133000;420.7500000;421.6500000;420.7500000;421.0500000;260970
