<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;5;20190103;100500;186.3700000;187.0000000;186.0000000;186.6100000;907180
SBER;5;20190103;101000;186.6100000;186.8400000;186.0400000;186.2000000;466440
SBER;5;20190103;101500;186.2000000;186.5900000;186.0500000;186.3000000;283280
SBER;5;20190103;102000;186.3200000;186.5800000;186.0100000;186.3800000;410970
SBER;5;20190103;102500;186.3800000;186.6100000;186.2800000;186.5000000;171530
SBER;5;20190103;103000;186.5700000;188.1900000;186.5200000;188.1400000;1781140
SBER;5;20190103;103500;188.1500000;188.4100000;188.0100000;188.0600000;728040
SBER;5;20190103;104000;188.0900000;188.5600000;188.0700000;188.3000000;446790
SBER;5;20190103;104500;188.3900000;188.5400000;188.1000000;188.2200000;243800
SBER;5;20190103;105000;188.2200000;188.3000000;188.1000000;188.1800000;162060
SBER;5;20190103;105500;188.2000000;188.8600000;188.2000000;188.7000000;1085850
SBER;5;20190103;110000;188.7000000;188.9500000;188.5100000;188.5200000;496650
SBER;5;20190103;110500;188.6000000;189.8700000;188.5600000;189.5700000;1674450
SBER;5;20190103;111000;189.6000000;190.2000000;189.6000000;190.1100000;1189420
SBER;5;20190103;111500;190.1800000;191.3000000;190.1800000;190.5500000;2438020
SBER;5;20190103;112000;190.5700000;190.7800000;190.1100000;190.1100000;760930
SBER;5;20190103;112500;190.1200000;191.0000000;190.1100000;190.3600000;545510
SBER;5;20190103;113000;190.3400000;191.2800000;190.3400000;191.2000000;1031920
SBER;5;20190103;113500;191.2000000;191.5000000;190.9200000;190.9600000;895730
SBER;5;20190103;114000;191.0000000;191.0500000;190.3500000;190.4300000;549470
SBER;5;20190103;114500;190.4800000;190.6800000;190.3400000;190.4700000;336520
SBER;5;20190103;115000;190.5400000;190.8700000;190.2600000;190.2900000;283180
SBER;5;20190103;115500;190.2900000;190.4900000;190.2100000;190.2200000;216740
SBER;5;20190103;120000;190.2900000;190.3500000;190.1100000;190.2900000;351220
SBER;5;20190103;120500;190.3100000;190.7300000;190.3000000;190.5000000;432590
SBER;5;20190103;121000;190.5000000;190.9600000;190.3500000;190.4400000;288790
SBER;5;20190103;121500;190.3900000;190.5600000;190.1500000;190.2600000;456870
SBER;5;20190103;122000;190.2500000;190.4400000;190.1200000;190.3100000;385970
SBER;5;20190103;122500;190.3600000;190.5300000;190.1100000;190.1300000;311700
SBER;5;20190103;123000;190.1700000;190.2200000;190.0200000;190.0700000;730270
SBER;5;20190103;123500;190.0900000;190.1200000;189.7600000;189.8600000;603530
SBER;5;20190103;124000;189.8500000;189.9100000;189.7000000;189.8000000;212360
SBER;5;20190103;124500;189.7900000;190.2800000;189.7900000;189.9800000;153460
SBER;5;20190103;125000;189.9600000;190.0000000;189.8300000;189.9100000;86210
SBER;5;20190103;125500;189.9100000;190.0000000;189.5100000;189.5200000;294060
SBER;5;20190103;130000;189.5600000;189.6300000;189.1100000;189.4400000;390820
SBER;5;20190103;130500;189.4800000;189.5700000;189.1100000;189.2400000;218470
SBER;5;20190103;131000;189.2900000;189.4300000;189.1100000;189.1500000;156650
SBER;5;20190103;131500;189.2100000;189.4300000;189.1100000;189.4200000;130900
SBER;5;20190103;132000;189.4200000;189.8700000;189.4100000;189.7300000;215100
SBER;5;20190103;132500;189.7600000;189.8400000;189.3000000;189.4200000;106210
SBER;5;20190103;133000;189.4500000;189.5000000;189.2500000;189.4100000;54590
SBER;5;20190103;133500;189.4100000;189.4400000;189.1300000;189.1900000;146490
SBER;5;20190103;134000;189.1900000;189.3600000;189.1100000;189.1800000;203980
SBER;5;20190103;134500;189.1600000;189.3800000;189.1100000;189.3600000;164290
SBER;5;20190103;135000;189.4000000;189.7400000;189.3300000;189.6300000;130760
SBER;5;20190103;135500;189.6500000;189.7700000;189.4600000;189.5300000;72510
SBER;5;20190103;140000;189.5400000;189.7500000;189.5300000;189.6700000;152040
