<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TATN;5;20190103;100500;737.9000000;737.9000000;715.7000000;726.0000000;34850
TATN;5;20190103;101000;726.0000000;726.3000000;720.4000000;722.2000000;18350
TATN;5;20190103;101500;722.2000000;724.6000000;720.1000000;722.8000000;15770
TATN;5;20190103;102000;723.7000000;723.7000000;720.3000000;721.5000000;11280
TATN;5;20190103;102500;721.5000000;725.9000000;721.1000000;721.4000000;15040
TATN;5;20190103;103000;721.7000000;724.1000000;720.3000000;724.1000000;22530
TATN;5;20190103;103500;724.4000000;724.5000000;723.0000000;723.8000000;13740
TATN;5;20190103;104000;723.9000000;725.0000000;723.0000000;724.5000000;3630
TATN;5;20190103;104500;725.0000000;725.3000000;723.9000000;724.0000000;6170
TATN;5;20190103;105000;724.0000000;725.4000000;723.0000000;725.3000000;12260
TATN;5;20190103;105500;725.3000000;727.4000000;724.4000000;724.4000000;25970
TATN;5;20190103;110000;724.5000000;726.0000000;724.4000000;726.0000000;5590
TATN;5;20190103;110500;725.9000000;726.7000000;723.3000000;723.3000000;13780
TATN;5;20190103;111000;723.4000000;726.0000000;723.0000000;725.0000000;33640
TATN;5;20190103;111500;724.9000000;725.1000000;723.0000000;723.0000000;23810
TATN;5;20190103;112000;723.2000000;725.1000000;723.0000000;724.9000000;11960
TATN;5;20190103;112500;724.6000000;725.8000000;723.5000000;724.4000000;9860
TATN;5;20190103;113000;724.3000000;725.6000000;723.6000000;724.5000000;9440
TATN;5;20190103;113500;724.2000000;725.5000000;723.6000000;724.7000000;14520
TATN;5;20190103;114000;724.7000000;725.4000000;723.2000000;723.2000000;15310
TATN;5;20190103;114500;723.3000000;724.2000000;723.2000000;724.2000000;8190
TATN;5;20190103;115000;723.7000000;724.1000000;723.0000000;723.1000000;21990
TATN;5;20190103;115500;723.1000000;725.2000000;723.1000000;724.7000000;10190
TATN;5;20190103;120000;724.9000000;727.3000000;724.1000000;727.3000000;16290
TATN;5;20190103;120500;727.1000000;729.2000000;726.0000000;729.2000000;12290
TATN;5;20190103;121000;728.6000000;729.2000000;728.0000000;728.5000000;5380
TATN;5;20190103;121500;728.8000000;729.3000000;726.9000000;729.3000000;7370
TATN;5;20190103;122000;729.3000000;729.9000000;727.7000000;729.9000000;12060
TATN;5;20190103;122500;730.0000000;732.9000000;729.6000000;730.2000000;33780
TATN;5;20190103;123000;729.9000000;731.5000000;729.7000000;730.7000000;14010
TATN;5;20190103;123500;729.5000000;731.0000000;728.9000000;729.2000000;23490
TATN;5;20190103;124000;729.2000000;730.1000000;728.5000000;728.8000000;11090
TATN;5;20190103;124500;728.8000000;730.6000000;728.8000000;730.6000000;16160
TATN;5;20190103;125000;730.2000000;731.2000000;729.1000000;731.1000000;8380
TATN;5;20190103;125500;731.6000000;731.9000000;729.6000000;731.9000000;7540
TATN;5;20190103;130000;731.9000000;732.6000000;730.5000000;730.5000000;7480
TATN;5;20190103;130500;731.3000000;731.3000000;730.1000000;730.4000000;7350
TATN;5;20190103;131000;730.8000000;731.1000000;729.9000000;730.7000000;8960
TATN;5;20190103;131500;730.6000000;732.0000000;730.6000000;732.0000000;2370
TATN;5;20190103;132000;732.2000000;732.5000000;731.6000000;732.1000000;4430
TATN;5;20190103;132500;732.6000000;732.6000000;730.9000000;731.4000000;4380
TATN;5;20190103;133000;730.9000000;732.0000000;730.5000000;731.1000000;3940
TATN;5;20190103;133500;731.0000000;731.3000000;730.7000000;731.3000000;750
TATN;5;20190103;134000;731.1000000;731.7000000;731.1000000;731.6000000;2040
TATN;5;20190103;134500;731.6000000;731.8000000;731.6000000;731.8000000;3470
TATN;5;20190103;135000;732.2000000;734.1000000;732.0000000;732.6000000;14580
TATN;5;20190103;135500;732.9000000;733.2000000;731.9000000;731.9000000;3570
TATN;5;20190103;140000;731.9000000;732.3000000;731.7000000;732.2000000;1190
TATN;5;20190103;140500;732.0000000;732.9000000;731.7000000;732.9000000;2890
TATN;5;20190103;141000;732.9000000;732.9000000;732.0000000;732.3000000;2390
TATN;5;20190103;141500;732.6000000;732.6000000;731.7000000;731.8000000;2540
TATN;5;20190103;142000;731.7000000;733.6000000;731.7000000;732.9000000;5660
TATN;5;20190103;142500;733.0000000;733.7000000;732.7000000;733.7000000;1160
TATN;5;20190103;143000;733.6000000;734.4000000;733.5000000;733.5000000;6920
TATN;5;20190103;143500;733.5000000;733.5000000;732.5000000;732.6000000;1670
TATN;5;20190103;144000;732.8000000;733.4000000;732.5000000;733.4000000;3760
TATN;5;20190103;144500;732.8000000;732.9000000;732.1000000;732.9000000;4440
TATN;5;20190103;145000;733.0000000;733.5000000;732.5000000;732.5000000;3470
TATN;5;20190103;145500;732.5000000;732.6000000;731.5000000;732.1000000;6370
TATN;5;20190103;150000;732.6000000;732.8000000;731.8000000;732.8000000;2420
TATN;5;20190103;150500;733.0000000;734.3000000;733.0000000;733.4000000;7320
TATN;5;20190103;151000;733.2000000;734.2000000;733.1000000;733.3000000;3220
TATN;5;20190103;151500;733.7000000;734.3000000;733.3000000;733.6000000;4730
TATN;5;20190103;152000;733.6000000;734.0000000;733.5000000;733.6000000;2580
TATN;5;20190103;152500;733.7000000;733.7000000;732.3000000;733.1000000;8260
TATN;5;20190103;153000;732.9000000;733.5000000;732.4000000;733.5000000;2940
TATN;5;20190103;153500;733.9000000;734.5000000;733.3000000;734.0000000;4030
TATN;5;20190103;154000;733.4000000;734.4000000;733.4000000;734.2000000;3990
TATN;5;20190103;154500;734.2000000;734.2000000;732.9000000;733.5000000;7250
TATN;5;20190103;155000;733.5000000;733.6000000;732.6000000;732.7000000;4860
TATN;5;20190103;155500;733.5000000;733.5000000;732.9000000;732.9000000;3020
TATN;5;20190103;160000;733.0000000;733.4000000;732.8000000;732.8000000;2570
TATN;5;20190103;160500;732.8000000;733.0000000;732.0000000;733.0000000;4160
TATN;5;20190103;161000;733.1000000;734.5000000;733.1000000;734.5000000;7360
TATN;5;20190103;161500;734.5000000;734.8000000;733.6000000;734.1000000;6210
TATN;5;20190103;162000;734.3000000;735.2000000;734.2000000;735.2000000;5270
TATN;5;20190103;162500;735.5000000;736.9000000;735.0000000;736.5000000;8700
TATN;5;20190103;163000;736.2000000;736.2000000;735.2000000;735.2000000;5170
