<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;5;20180103;100500;1920.0000000;1923.0000000;1917.0000000;1923.0000000;1548
YNDX;5;20180103;101000;1923.5000000;1927.0000000;1915.0000000;1917.0000000;653
YNDX;5;20180103;101500;1917.0000000;1925.5000000;1917.0000000;1925.5000000;499
YNDX;5;20180103;102000;1922.5000000;1923.0000000;1919.0000000;1919.0000000;127
YNDX;5;20180103;102500;1918.5000000;1918.5000000;1918.5000000;1918.5000000;111
YNDX;5;20180103;103000;1922.0000000;1922.0000000;1922.0000000;1922.0000000;3
YNDX;5;20180103;103500;1923.5000000;1923.5000000;1920.5000000;1920.5000000;170
YNDX;5;20180103;104000;1921.0000000;1924.0000000;1920.5000000;1924.0000000;155
YNDX;5;20180103;104500;1924.0000000;1927.0000000;1924.0000000;1925.0000000;133
YNDX;5;20180103;105000;1925.5000000;1926.0000000;1923.0000000;1923.0000000;12
YNDX;5;20180103;105500;1922.5000000;1924.5000000;1922.5000000;1924.5000000;6
YNDX;5;20180103;110000;1924.5000000;1926.5000000;1924.5000000;1926.5000000;103
YNDX;5;20180103;110500;1925.0000000;1925.0000000;1922.5000000;1922.5000000;127
YNDX;5;20180103;111000;1923.0000000;1924.5000000;1921.0000000;1924.5000000;167
YNDX;5;20180103;111500;1925.0000000;1926.0000000;1923.5000000;1926.0000000;160
YNDX;5;20180103;112000;1924.5000000;1925.5000000;1923.5000000;1924.5000000;97
YNDX;5;20180103;112500;1923.0000000;1924.0000000;1920.5000000;1924.0000000;442
YNDX;5;20180103;113000;1922.0000000;1922.0000000;1920.5000000;1920.5000000;359
YNDX;5;20180103;113500;1921.5000000;1921.5000000;1920.5000000;1920.5000000;232
YNDX;5;20180103;114000;1920.5000000;1922.5000000;1920.0000000;1920.0000000;479
YNDX;5;20180103;114500;1920.0000000;1923.0000000;1920.0000000;1923.0000000;40
YNDX;5;20180103;115000;1921.0000000;1923.0000000;1920.0000000;1922.0000000;347
YNDX;5;20180103;115500;1921.0000000;1922.5000000;1920.0000000;1920.0000000;402
YNDX;5;20180103;120000;1921.5000000;1921.5000000;1921.0000000;1921.0000000;29
YNDX;5;20180103;120500;1920.0000000;1922.0000000;1920.0000000;1922.0000000;9
YNDX;5;20180103;121500;1922.0000000;1922.0000000;1920.0000000;1922.0000000;47
YNDX;5;20180103;122000;1920.0000000;1920.5000000;1920.0000000;1920.0000000;89
YNDX;5;20180103;122500;1920.0000000;1920.0000000;1920.0000000;1920.0000000;106
YNDX;5;20180103;123000;1921.0000000;1922.0000000;1920.0000000;1922.0000000;105
YNDX;5;20180103;123500;1920.5000000;1922.0000000;1920.5000000;1920.5000000;51
YNDX;5;20180103;124000;1920.5000000;1922.5000000;1920.5000000;1922.0000000;37
YNDX;5;20180103;124500;1922.5000000;1926.5000000;1922.5000000;1926.5000000;932
YNDX;5;20180103;125000;1926.5000000;1927.0000000;1924.0000000;1924.0000000;110
YNDX;5;20180103;125500;1926.5000000;1926.5000000;1926.5000000;1926.5000000;10
YNDX;5;20180103;130000;1924.5000000;1924.5000000;1924.0000000;1924.0000000;24
YNDX;5;20180103;130500;1923.0000000;1923.0000000;1921.5000000;1921.5000000;134
YNDX;5;20180103;131000;1923.5000000;1924.0000000;1922.0000000;1922.0000000;20
YNDX;5;20180103;131500;1924.0000000;1924.0000000;1921.5000000;1922.0000000;30
YNDX;5;20180103;132000;1921.5000000;1923.5000000;1920.0000000;1920.0000000;373
YNDX;5;20180103;132500;1920.5000000;1921.5000000;1919.0000000;1921.5000000;406
YNDX;5;20180103;133000;1921.5000000;1921.5000000;1919.0000000;1919.5000000;361
YNDX;5;20180103;133500;1919.5000000;1919.5000000;1918.5000000;1918.5000000;260
YNDX;5;20180103;134000;1921.0000000;1921.0000000;1918.5000000;1918.5000000;116
YNDX;5;20180103;134500;1920.5000000;1920.5000000;1918.5000000;1918.5000000;205
YNDX;5;20180103;135000;1920.5000000;1921.0000000;1920.5000000;1921.0000000;6
YNDX;5;20180103;135500;1921.0000000;1923.5000000;1920.0000000;1923.5000000;317
YNDX;5;20180103;140000;1923.5000000;1924.5000000;1923.5000000;1924.5000000;175
YNDX;5;20180103;140500;1924.5000000;1924.5000000;1922.5000000;1922.5000000;23
YNDX;5;20180103;141000;1924.5000000;1925.0000000;1923.5000000;1923.5000000;183
YNDX;5;20180103;141500;1925.0000000;1926.0000000;1924.0000000;1926.0000000;98
YNDX;5;20180103;142000;1924.5000000;1924.5000000;1923.5000000;1923.5000000;18
YNDX;5;20180103;142500;1924.5000000;1925.0000000;1924.5000000;1925.0000000;12
YNDX;5;20180103;143000;1926.0000000;1926.0000000;1923.0000000;1923.0000000;60
YNDX;5;20180103;143500;1923.5000000;1924.5000000;1923.5000000;1923.5000000;61
YNDX;5;20180103;144000;1925.0000000;1926.0000000;1925.0000000;1926.0000000;21
YNDX;5;20180103;144500;1926.0000000;1927.0000000;1926.0000000;1927.0000000;611
YNDX;5;20180103;145000;1927.0000000;1927.0000000;1925.0000000;1925.0000000;8
YNDX;5;20180103;145500;1925.0000000;1927.0000000;1925.0000000;1927.0000000;265
YNDX;5;20180103;150000;1927.0000000;1927.0000000;1924.5000000;1924.5000000;80
